matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
18,186,439.0,0.04135150000001886,heavy,0.021263399999952526,439.0,234,2,0.0021071999999549007,0.013441999999486143,439.0,311,4,0.0041388999998162035,0.008443200000328943,439.0,399,8,0.007355200000347395
19,161,542.0,0.03476379999938217,heavy,0.01936569999998028,542.0,219,2,0.0018324000002394314,0.01623349999954371,542.0,364,4,0.004000599999926635,0.009322699999756878,542.0,463,8,0.006864900000437046
20,222,612.0,0.04961789999924804,heavy,0.027996499999972002,612.0,303,2,0.0017050000005838228,0.018085400000018126,612.0,429,4,0.0039886999993541394,0.011371600000529725,612.0,547,8,0.006933899999239657
21,158,419.0,0.03333849999944505,heavy,0.0186266999999134,419.0,214,2,0.002064799999971001,0.012611099999958242,419.0,309,4,0.004124699999920267,0.00792860000001383,419.0,394,8,0.007370700000137731
22,209,482.0,0.04710769999928743,heavy,0.026646499999515072,482.0,275,2,0.0014931999994587386,0.017066400000658177,482.0,381,4,0.0038891000003786758,0.009223600000041188,482.0,455,8,0.0067415000003165915
23,157,351.0,0.03325409999979456,heavy,0.01972479999949428,351.0,214,2,0.0021195999997871695,0.011808600000222214,351.0,280,4,0.0040675000000192085,0.00645879999956378,351.0,323,8,0.006998099999691476
24,296,545.0,0.06756979999954638,heavy,0.03307859999949869,545.0,358,2,0.0022131999994599028,0.01844710000023042,545.0,439,4,0.004401399999551359,0.01053200000023935,545.0,505,8,0.0070265000003928435
25,174,624.0,0.03872540000065783,heavy,0.022120400000858353,624.0,244,2,0.0017454999997426057,0.015406200000143144,624.0,363,4,0.00420029999986582,0.00998399999934918,624.0,494,8,0.00629190000017843
26,221,469.0,0.04885120000017196,heavy,0.02892760000031558,469.0,303,2,0.001989500000490807,0.01690850000068167,469.0,369,4,0.004726900000605383,0.008347199999661825,469.0,441,8,0.0076432000005297596
27,282,389.0,0.06058690000008937,heavy,0.02797389999977895,389.0,316,2,0.0018081999996866216,0.015047000000777189,389.0,353,4,0.004137500000069849,0.007372699999905308,389.0,376,8,0.006879300000036892
28,180,544.0,0.039474000000154774,heavy,0.02362730000004376,544.0,260,2,0.001598300000296149,0.014274299999669893,544.0,340,4,0.0035139000001436216,0.008692899999914516,544.0,438,8,0.00578970000060508
29,157,649.0,0.03419919999942067,heavy,0.022984399999586458,649.0,250,2,0.0024839999996402184,0.017349699999613222,649.0,368,4,0.004827100000511564,0.011134499999570835,649.0,515,8,0.007702199999584991
30,175,461.0,0.03819910000038362,heavy,0.019879299999956856,461.0,230,2,0.002072299999781535,0.013749300000199582,461.0,321,4,0.004235999999764317,0.008356499999536027,461.0,411,8,0.007062900000164518
31,202,541.0,0.044041599999218306,heavy,0.026708299999882,541.0,291,2,0.002113399999871035,0.016824400000587048,541.0,369,4,0.0048826000002009096,0.009826000000430213,541.0,476,8,0.007663200000024517
32,166,505.0,0.036103600000387814,heavy,0.021100599999954284,505.0,237,2,0.00197180000031949,0.014505400000416557,505.0,345,4,0.004185499999948661,0.009316600000602193,505.0,446,8,0.006781099999898288
33,186,519.0,0.046528600000783626,heavy,0.035346100000424485,519.0,275,2,0.0031820000003790483,0.01755250000041997,519.0,376,4,0.005315899999914109,0.010230699999738135,519.0,455,8,0.007890899999438261
34,150,528.0,0.032806799999889336,heavy,0.021423500000310014,528.0,214,2,0.0017808999991757446,0.013235700000223005,528.0,310,4,0.0038967000000411645,0.008493100000123377,528.0,427,8,0.006262200000492157
35,240,496.0,0.05480939999961265,heavy,0.02979570000024978,496.0,316,2,0.0014401999997062376,0.015843600000152946,496.0,369,4,0.0035146000000167987,0.008906600000045728,496.0,441,8,0.006016100000124425
36,141,585.0,0.029159400000025926,heavy,0.018660199999430915,585.0,218,2,0.0022693999999319203,0.01599919999989652,585.0,360,4,0.004220200000418117,0.010387899999841466,585.0,490,8,0.007025500000054308
37,469,569.0,0.09942790000059176,heavy,0.06008320000000822,569.0,480,2,0.002225499999440217,0.02833109999937733,569.0,504,4,0.006041900000127498,0.014644299999417854,569.0,550,8,0.009004100000311155
38,275,491.0,0.07929310000054102,heavy,0.043465000000651344,491.0,322,2,0.0028652000000874978,0.029470899999978428,491.0,398,4,0.005635600000459817,0.014008200000716897,491.0,456,8,0.010390600000391714
39,279,605.0,0.07427989999996498,heavy,0.046538800000234914,605.0,372,2,0.003137099999548809,0.026173399999606772,605.0,447,4,0.005577799999628041,0.02101580000089598,605.0,535,8,0.011652500000309374
40,171,518.0,0.05687080000006972,heavy,0.03758899999957066,518.0,250,2,0.002078800000163028,0.023832500000025902,518.0,366,4,0.005487800000082643,0.010751899999377201,518.0,444,8,0.00915660000009666
41,278,426.0,0.08099199999924167,heavy,0.04535109999960696,426.0,311,2,0.002113600000484439,0.028326900000138266,426.0,375,4,0.006046800000149233,0.011749799999961397,426.0,408,8,0.010041300000011688
42,217,465.0,0.06481629999962024,heavy,0.04153590000078111,465.0,299,2,0.0025322999999843887,0.023655300000427815,465.0,363,4,0.0055837999998402665,0.011621800000284566,465.0,420,8,0.007526700000198616
43,217,543.0,0.05909260000044014,heavy,0.03082760000052076,543.0,284,2,0.0021229000003586407,0.0178330000007918,543.0,395,4,0.005401999999776308,0.010681300000214833,543.0,489,8,0.008273199999166536
44,238,576.0,0.0582563999996637,heavy,0.029560599999967963,576.0,298,2,0.0015159000004132395,0.018095200000061595,576.0,395,4,0.00400050000007468,0.011834500000077242,576.0,504,8,0.006732699999702163
45,245,513.0,0.06640590000006341,heavy,0.041947499999878346,513.0,309,2,0.002725100000134262,0.026341100000536244,513.0,384,4,0.006442300000344403,0.013130999999702908,513.0,472,8,0.009383599999637227
46,211,380.0,0.05738240000027872,heavy,0.02831129999958648,380.0,266,2,0.0016451000001325156,0.016410399999585934,380.0,319,4,0.004246399999829009,0.008839699999953154,380.0,364,8,0.007635599999957776
47,276,474.0,0.06715869999970892,heavy,0.03199010000025737,474.0,334,2,0.0015786000003572553,0.017466199999944365,474.0,381,4,0.004346499999883235,0.009497499999270076,474.0,453,8,0.0076902000000700355
48,333,456.0,0.07868020000023535,heavy,0.04227730000002339,456.0,344,2,0.0019083000006503426,0.022909300000719668,456.0,396,4,0.0038621000003331574,0.009006300000692136,456.0,421,8,0.006786599999941245
49,248,518.0,0.05888690000028873,heavy,0.029811700000209385,518.0,305,2,0.0020058999998582294,0.01847479999923962,518.0,403,4,0.004785500000252796,0.01033480000023701,518.0,459,8,0.00809679999929358
50,243,498.0,0.05584809999982099,heavy,0.02800539999952889,498.0,293,2,0.0014824999998381827,0.01809080000020913,498.0,400,4,0.004136900000048627,0.011113200000181678,498.0,458,8,0.008201599999665632
51,235,562.0,0.05576149999978952,heavy,0.02974549999998999,562.0,308,2,0.0015977000002749264,0.021481499999936204,562.0,410,4,0.00508689999969647,0.011704600000484788,562.0,508,8,0.008170199999767647
52,330,425.0,0.07930619999933697,heavy,0.036704699999972945,425.0,377,2,0.002670899999429821,0.01854289999937464,425.0,398,4,0.004337800000030256,0.008543999999346852,425.0,407,8,0.007369699999799195
53,262,557.0,0.0630367000003389,heavy,0.03956629999993311,557.0,381,2,0.002194200000303681,0.020850500000051397,557.0,438,4,0.005449899999803165,0.012951300000167976,557.0,508,8,0.007979400000294845
54,290,402.0,0.07124070000008942,heavy,0.0295285000001968,402.0,323,2,0.0013757999995505088,0.016351299999769253,402.0,359,4,0.004332399999839254,0.008313000000271131,402.0,394,8,0.007403800000247429
55,200,508.0,0.047559600000568025,heavy,0.026261999999405816,508.0,258,2,0.0014542999997502193,0.0151120999998966,508.0,333,4,0.003912999999556632,0.00944100000015169,508.0,433,8,0.007747500000732543
56,173,509.0,0.04014050000023417,heavy,0.025284100000135368,509.0,258,2,0.002565400000094087,0.016917300000386604,509.0,357,4,0.004876599999988684,0.010738599999967846,509.0,452,8,0.008576500000344822
57,179,457.0,0.047900799999297305,heavy,0.027791800000159128,457.0,245,2,0.0026075000005221227,0.01910169999973732,457.0,352,4,0.004824399999961315,0.009970299999622512,457.0,419,8,0.007954499999868858
58,222,577.0,0.05773629999930563,heavy,0.03514830000040092,577.0,328,2,0.0025446999998166575,0.019611599999734608,577.0,415,4,0.004971400000613357,0.011242700000366312,577.0,496,8,0.008256199999777891
59,203,633.0,0.05199629999970057,heavy,0.03565859999980603,633.0,304,2,0.0025928000004569185,0.022442500000579457,633.0,407,4,0.005398799999966286,0.012744999999995343,633.0,527,8,0.009747699999934412
60,323,459.0,0.08352889999969193,heavy,0.0389404999996259,459.0,360,2,0.0027402000005167793,0.018893600000410515,459.0,406,4,0.0048954999992929515,0.009954999999536085,459.0,443,8,0.008431199999904493
61,233,530.0,0.05432210000071791,heavy,0.028843299999607552,530.0,303,2,0.0016584000004513655,0.01772140000048239,530.0,385,4,0.005138599999554572,0.07690009999987524,530.0,469,8,0.008045700000366196
62,205,407.0,0.04758680000031745,heavy,0.03269449999970675,407.0,300,2,0.0021297000002959976,0.016777700000602636,407.0,367,4,0.004352199999630102,0.008189399999537272,407.0,392,8,0.006796000000576896
63,146,514.0,0.032713999999941734,heavy,0.020130300000346324,514.0,211,2,0.0020262999996703,0.015153299999838055,514.0,321,4,0.005020800000238523,0.010419799999908719,514.0,435,8,0.007112499999493593
64,209,540.0,0.05011500000000524,heavy,0.027151600000252074,540.0,261,2,0.0019186999998055398,0.017095600000175182,540.0,366,4,0.004192600000351376,0.010936900000160676,540.0,477,8,0.008108600000014121
65,158,538.0,0.038324500000271655,heavy,0.021973500000058266,538.0,217,2,0.0016647000002194545,0.016189800000574905,538.0,346,4,0.004429300000083458,0.010538399999859394,538.0,466,8,0.0072173999997176
66,223,483.0,0.047597400000086054,heavy,0.028053200000613288,483.0,296,2,0.0024614000003566616,0.015948499999467458,483.0,371,4,0.004291999999622931,0.009616299999834155,483.0,435,8,0.007267900000442751
67,173,578.0,0.03409230000033858,heavy,0.02389839999977994,578.0,252,2,0.0016494999999849824,0.01804360000005545,578.0,369,4,0.004763099999763654,0.012630499999431777,578.0,479,8,0.008681600000272738
68,148,454.0,0.03767950000019482,heavy,0.0205405000006067,454.0,185,2,0.0022898999995959457,0.015798399999766843,454.0,296,4,0.005103399999825342,0.010812200000145822,454.0,393,8,0.0066919000000780215
69,291,560.0,0.06953990000056365,heavy,0.03527920000033191,560.0,355,2,0.0017885999995996826,0.018860400000448863,560.0,412,4,0.004135700000006182,0.013993599999594153,560.0,496,8,0.006102600000303937
70,186,416.0,0.036456400000133726,heavy,0.024978000000373868,416.0,251,2,0.0015047999995658756,0.016790599999694678,416.0,329,4,0.004093000000466418,0.00818289999915578,416.0,379,8,0.005792799999653653
71,312,488.0,0.06666840000070806,heavy,0.0362753999997949,488.0,357,2,0.0016945999996096361,0.01846300000033807,488.0,406,4,0.00378530000034516,0.009712400000353227,488.0,449,8,0.005741599999964819
72,180,585.0,0.03496799999993527,heavy,0.026926499999717635,585.0,265,2,0.0025937999998859596,0.018866399999751593,585.0,363,4,0.00484749999941414,0.011116499999843654,585.0,481,8,0.007165900000472902
73,147,523.0,0.040474499999618274,heavy,0.027225900000303227,523.0,220,2,0.003364799999872048,0.01920090000021446,523.0,328,4,0.005552100000386417,0.012834600000132923,523.0,452,8,0.008403400000133843
74,203,365.0,0.05324590000054741,heavy,0.03019490000042424,365.0,245,2,0.002189399999224406,0.01686650000010559,365.0,310,4,0.005171199999495002,0.00907680000000255,365.0,353,8,0.00835819999974774
75,239,401.0,0.06250729999919713,heavy,0.036423000000468164,401.0,294,2,0.002454000000398082,0.018580399999336805,401.0,335,4,0.00498539999989589,0.010336899999856541,401.0,378,8,0.006820800000241434
76,143,455.0,0.03223630000047706,heavy,0.023497799999859126,455.0,201,2,0.0026998000003004563,0.017434799999136885,455.0,293,4,0.005068699999355886,0.010733300000538293,455.0,404,8,0.006769300000087242
77,150,630.0,0.03030419999959122,heavy,0.022053499999856285,630.0,207,2,0.002219599999989441,0.01629609999963577,630.0,355,4,0.004534599999715283,0.012258000000656466,630.0,508,8,0.006803399999625981
78,153,471.0,0.03566260000025068,heavy,0.024362500000279397,471.0,243,2,0.0024157000007107854,0.016188000000511238,471.0,345,4,0.004728699999759556,0.00909589999992022,471.0,428,8,0.007108100000550621
79,170,538.0,0.0332431999995606,heavy,0.020722899999782385,538.0,229,2,0.0015989000003173715,0.014597800000046846,538.0,332,4,0.005040199999712058,0.009861600000476756,538.0,446,8,0.0069887999998172745
80,157,641.0,0.02893240000048536,heavy,0.022599500000069384,641.0,235,2,0.0024619999994683894,0.021176999999624968,641.0,392,4,0.005242400000497582,0.012579899999764166,641.0,509,8,0.007526099999267899
81,256,429.0,0.050358999999843945,heavy,0.029280499999913445,429.0,303,2,0.0019007999999303138,0.019349300000612857,429.0,377,4,0.004416300000229967,0.00848370000039722,429.0,418,8,0.007561399999758578
82,211,535.0,0.05071760000009817,heavy,0.029089700000440644,535.0,305,2,0.0023782999996910803,0.017082099999242928,535.0,379,4,0.0046859000003678375,0.0099887000005765,535.0,455,8,0.007867299999816169
83,154,507.0,0.03445599999940896,heavy,0.026876500000071246,507.0,216,2,0.002420499999971071,0.01972569999998086,507.0,332,4,0.0043631999997160165,0.009051600000020699,507.0,442,8,0.007227200000670564
84,206,561.0,0.042669099999329774,heavy,0.028766199999154196,561.0,293,2,0.0022027999993952108,0.01859390000026906,561.0,385,4,0.00502169999981561,0.012256199999683304,561.0,471,8,0.007865399999900546
85,150,519.0,0.027536099999451835,heavy,0.020772500000020955,519.0,227,2,0.0026980000002367888,0.015044900000248163,519.0,332,4,0.0044447000000218395,0.009287699999731558,519.0,447,8,0.0077482000006057206
86,205,297.0,0.03928650000034395,heavy,0.022023800000170013,297.0,233,2,0.0016779999996288097,0.012031199999910314,297.0,276,4,0.004165899999861722,0.006990400000177033,297.0,287,8,0.0060868000000482425
87,220,399.0,0.06419700000060402,heavy,0.03703170000062528,399.0,294,2,0.002727699999923061,0.015092499999809661,399.0,337,4,0.004591800000525836,0.007712999999966996,399.0,374,8,0.006568499999957567
88,151,628.0,0.02805239999997866,heavy,0.020585600000231352,628.0,214,2,0.0016022999998313026,0.01453380000020843,628.0,341,4,0.0036061000000700005,0.01152159999946889,628.0,522,8,0.007147700000132318
89,173,590.0,0.03321030000006431,heavy,0.02266689999942173,590.0,239,2,0.0017729000001054374,0.01648040000054607,590.0,346,4,0.004902399999991758,0.010332199999538716,590.0,498,8,0.007659599999897182
90,293,539.0,0.06387969999923371,heavy,0.037307000000510016,539.0,367,2,0.002517400000215275,0.020206499999403604,539.0,445,4,0.004908099999738624,0.010476899999957823,539.0,496,8,0.007762199999888253
91,192,416.0,0.04537239999990561,heavy,0.02260980000028212,416.0,238,2,0.0013207000001784763,0.013633800000206975,416.0,307,4,0.0036484000002019457,0.008297899999888614,416.0,388,8,0.005455999999867345
92,250,541.0,0.0523538000006738,heavy,0.031962799999746494,541.0,319,2,0.0021570999997493345,0.019491500000185624,541.0,399,4,0.004487799999878916,0.010378299999501905,541.0,483,8,0.00794190000033268
93,209,370.0,0.042340799999692535,heavy,0.023658299999624433,370.0,257,2,0.001271499999347725,0.014158199999656063,370.0,314,4,0.004087999999683234,0.007111699999768462,370.0,350,8,0.006413600000087172
94,207,520.0,0.040950599999632686,heavy,0.025916900000083842,520.0,274,2,0.0016657000005579903,0.015483900000617723,520.0,343,4,0.0037899999997534906,0.009700000000520959,520.0,443,8,0.00559270000030665
