matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split,euler_heuristic_depth4_time,euler_heuristic_depth4_cycle,euler_heuristic_depth4_perms,euler_heuristic_depth4_planes,euler_heuristic_depth4_split
42,461,8485.0,0.5569313000305556,maximum,0.21755589998792857,8466.0,438,2,0.01781749998917803,0.09121260000392795,8553.0,496,4,0.03197650000220165,0.053791900048963726,8715.0,551,8,0.03984139999374747,0.02736369997728616,9047.0,662,16,0.05001459998311475
43,487,8722.0,0.665625200024806,maximum,0.24447330000111833,8740.0,494,2,0.018409999960567802,0.1121288999565877,8752.0,466,4,0.0349106999929063,0.06100370001513511,9011.0,557,8,0.0447594000142999,0.032184200012125075,9318.0,662,16,0.05494260002160445
44,476,8785.0,0.5962316999793984,maximum,0.22987819998525083,8751.0,435,2,0.016619399946648628,0.09236079995753244,8849.0,489,4,0.031933499965816736,0.04372489999514073,9029.0,537,8,0.042688799963798374,0.02520789997652173,9404.0,674,16,0.04868389997864142
45,496,8749.0,0.5801768999663182,maximum,0.22771370003465563,8825.0,544,2,0.015796199964825064,0.08980849996441975,8770.0,477,4,0.030945899954531342,0.04949880001368001,8978.0,557,8,0.04335310001624748,0.027383500011637807,9285.0,663,16,0.05204750003758818
46,476,8654.0,0.5591003999579698,maximum,0.2288240000489168,8636.0,457,2,0.017419899988453835,0.09659490000922233,8680.0,459,4,0.03306619997601956,0.0465769000002183,8923.0,561,8,0.041821799997705966,0.031006400007754564,9234.0,680,16,0.05219439999200404
47,577,8850.0,0.5906954000238329,maximum,0.23442739999154583,8789.0,534,2,0.016946199990343302,0.09559430001536384,8761.0,479,4,0.029516899958252907,0.0498340999474749,8961.0,532,8,0.040856200037524104,0.025942499982193112,9335.0,665,16,0.04771349998190999
48,443,8327.0,0.5561512000276707,maximum,0.21442809997824952,8320.0,434,2,0.01578520005568862,0.08811479998985305,8366.0,445,4,0.029657899984158576,0.04660270002204925,8535.0,516,8,0.040836600004695356,0.034889700007624924,8913.0,665,16,0.05015249998541549
49,473,8958.0,0.5687532000010833,maximum,0.21949019999010488,8982.0,485,2,0.01880140003049746,0.09377549996133894,8977.0,458,4,0.03166809998219833,0.051805099996272475,9197.0,544,8,0.04448049998609349,0.026444500021170825,9606.0,684,16,0.05099400004837662
50,486,8989.0,0.55376660003094,maximum,0.21399570000357926,9006.0,482,2,0.01630670001031831,0.08877339999889955,9034.0,477,4,0.03131190000567585,0.04567199997836724,9235.0,538,8,0.041207100031897426,0.02454689994920045,9654.0,677,16,0.05245879996800795
51,510,8748.0,0.5756666000233963,maximum,0.21485040005063638,8674.0,432,2,0.01769800001056865,0.09025310003198683,8734.0,451,4,0.03148700000019744,0.04867090005427599,8933.0,532,8,0.042617800005245954,0.02500179997878149,9327.0,673,16,0.05420760001288727
52,482,8445.0,0.5873310000170022,maximum,0.2243109000264667,8457.0,486,2,0.01678949996130541,0.09821829997235909,8494.0,486,4,0.029341200017370284,0.04667310003424063,8678.0,547,8,0.04288979998091236,0.030457899963948876,9005.0,660,16,0.05061459995340556
53,424,8781.0,0.5647654000204057,maximum,0.21730220003519207,8787.0,420,2,0.015651300025638193,0.09341359999962151,8843.0,449,4,0.032369600026868284,0.04550589999416843,9082.0,526,8,0.04186390002723783,0.02526010002475232,9493.0,681,16,0.052052300015930086
54,496,9027.0,0.5827079000300728,maximum,0.2200355000095442,8995.0,453,2,0.01763880002545193,0.09308479999890551,9055.0,478,4,0.03302820003591478,0.04896829999051988,9268.0,554,8,0.045269599999301136,0.03144580003572628,9603.0,651,16,0.05332720000296831
55,435,8317.0,0.5861050000530668,maximum,0.21167200000490993,8305.0,409,2,0.015675799979362637,0.09474069997668266,8413.0,488,4,0.02934609999647364,0.04354000004241243,8552.0,515,8,0.03756869997596368,0.026441599999088794,8950.0,678,16,0.045066600025165826
56,536,9088.0,0.5707630999968387,maximum,0.22220890002790838,9046.0,472,2,0.016424099972937256,0.0921997000114061,9068.0,477,4,0.035209800000302494,0.04553069995017722,9321.0,566,8,0.04095120000420138,0.026042399986181408,9703.0,679,16,0.05366399994818494
57,457,8439.0,0.5525370000395924,maximum,0.21321870002429932,8450.0,463,2,0.02020179998362437,0.09274530003312975,8501.0,477,4,0.030702899966854602,0.04673829994862899,8746.0,593,8,0.04108160000760108,0.023907699971459806,9065.0,675,16,0.05097450001630932
58,441,8457.0,0.5424734000116587,maximum,0.21922630001790822,8467.0,446,2,0.016745799977798015,0.08828630001517013,8508.0,449,4,0.03131380002014339,0.04514629999175668,8751.0,558,8,0.04543480003485456,0.02493389998562634,9053.0,676,16,0.05150659999344498
59,477,8519.0,0.5523067000322044,maximum,0.21551219996763393,8543.0,505,2,0.017137199989520013,0.09142840001732111,8554.0,479,4,0.032067099993582815,0.04714720003539696,8751.0,543,8,0.04488040000433102,0.02424820000305772,9082.0,665,16,0.05178159999195486
60,538,8341.0,0.536804299976211,maximum,0.21637519996147603,8325.0,501,2,0.016677599982358515,0.0881105000153184,8327.0,481,4,0.030971100030001253,0.04512940003769472,8492.0,545,8,0.039826299995183945,0.023287300020456314,8845.0,664,16,0.05139979999512434
