matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_max_16_time,maximum_max_16_cycle,maximum_max_16_perms,maximum_max_16_planes,maximum_max_16_split,maximum_max_2_time,maximum_max_2_cycle,maximum_max_2_perms,maximum_max_2_planes,maximum_max_2_split,maximum_max_4_time,maximum_max_4_cycle,maximum_max_4_perms,maximum_max_4_planes,maximum_max_4_split,maximum_max_8_time,maximum_max_8_cycle,maximum_max_8_perms,maximum_max_8_planes,maximum_max_8_split,maximum_median_16_time,maximum_median_16_cycle,maximum_median_16_perms,maximum_median_16_planes,maximum_median_16_split,maximum_median_2_time,maximum_median_2_cycle,maximum_median_2_perms,maximum_median_2_planes,maximum_median_2_split,maximum_median_4_time,maximum_median_4_cycle,maximum_median_4_perms,maximum_median_4_planes,maximum_median_4_split,maximum_median_8_time,maximum_median_8_cycle,maximum_median_8_perms,maximum_median_8_planes,maximum_median_8_split,maximum_min_16_time,maximum_min_16_cycle,maximum_min_16_perms,maximum_min_16_planes,maximum_min_16_split,maximum_min_2_time,maximum_min_2_cycle,maximum_min_2_perms,maximum_min_2_planes,maximum_min_2_split,maximum_min_4_time,maximum_min_4_cycle,maximum_min_4_perms,maximum_min_4_planes,maximum_min_4_split,maximum_min_8_time,maximum_min_8_cycle,maximum_min_8_perms,maximum_min_8_planes,maximum_min_8_split
84,481,8557.0,0.6946468999958597,maximum,0.21938529999169987,11023.0,320,3,,0.06989760001306422,11617.0,682,9,,0.09245789999840781,11348.0,475,5,,0.17790190000960138,11174.0,373,3,,0.2947767000005115,9485.0,501,3,,0.057302699991851114,11617.0,682,9,,0.10318959999131039,10665.0,574,5,,0.20643920000293292,10293.0,529,3,,0.6816930999921169,9229.0,829,3,,0.0641198999946937,11617.0,682,9,,0.12236499998834915,10665.0,680,5,,0.3501605999917956,10293.0,797,3,
85,465,8034.0,0.6645050000079209,maximum,0.22678300000552554,10393.0,316,3,,0.05775770000764169,11092.0,656,9,,0.09207420000166167,10858.0,466,5,,0.16676040001038928,10644.0,362,3,,0.2959132999967551,8853.0,481,3,,0.057197300004190765,11092.0,656,9,,0.10340379999252036,10046.0,553,5,,0.20998109999345616,9786.0,554,3,,0.7379765000077896,8690.0,829,3,,0.06576189999759663,11092.0,656,9,,0.12641350000922102,10042.0,661,5,,0.331390499995905,9722.0,792,3,
86,472,8087.0,0.6705115000077058,maximum,0.21879849999095313,10536.0,319,3,,0.05444720000377856,11235.0,673,9,,0.0926496999891242,10840.0,474,5,,0.1705119999969611,10564.0,369,3,,0.2916931000072509,9208.0,503,3,,0.056698800006415695,11235.0,673,9,,0.10036009999748785,10439.0,563,5,,0.2041862000041874,9905.0,550,3,,0.7004778999980772,8983.0,828,3,,0.06421460000274237,11235.0,673,9,,0.1203551999933552,10415.0,669,5,,0.34515369999280665,9895.0,801,3,
87,481,8234.0,0.682892200013157,maximum,0.2294324999966193,10567.0,316,3,,0.05586079999920912,11260.0,651,9,,0.09933309999178164,10913.0,467,5,,0.18191660000593401,10798.0,366,3,,0.30497110000578687,9147.0,497,3,,0.05682679999154061,11260.0,651,9,,0.10219099999812897,10178.0,558,5,,0.20848619999014772,9850.0,516,3,,0.7293653000087943,8890.0,825,3,,0.060875399998622015,11260.0,651,9,,0.1198794999945676,10178.0,656,5,,0.32981999999901745,9850.0,758,3,
88,481,8513.0,0.6880289000109769,maximum,0.22324329998809844,11062.0,322,3,,0.05541359999915585,11823.0,668,9,,0.09545660000003409,11575.0,476,5,,0.16931709999334998,11335.0,375,3,,0.3003086999960942,9435.0,497,3,,0.05750860000262037,11823.0,668,9,,0.10782039999321569,10665.0,566,5,,0.20730599999660626,10307.0,539,3,,0.6537516000098549,9105.0,786,3,,0.06495250000443775,11823.0,668,9,,0.1203042999986792,10537.0,659,5,,0.30871189999743365,10241.0,774,3,
89,476,8332.0,0.6725945000071079,maximum,0.22512810000625905,10734.0,318,3,,0.05698280000069644,11524.0,671,9,,0.09256380000442732,11090.0,476,5,,0.16881799999100622,10966.0,374,3,,0.3125412000081269,9167.5,508,3,,0.06026899999415036,11524.0,671,9,,0.10461619999841787,10416.0,561,5,,0.20099710000795312,10068.0,525,3,,0.7344922999909613,9004.0,848,3,,0.06598610000219196,11524.0,671,9,,0.1256950999959372,10412.0,675,5,,0.31238599999051075,10068.0,776,3,
90,481,8425.0,0.6859237000026042,maximum,0.22204759999294765,10895.0,319,3,,0.05344190000323579,11641.0,663,9,,0.0939492000034079,11109.0,469,5,,0.17274979999638163,10927.0,368,3,,0.31625619999249466,9417.0,560,3,,0.05597460000717547,11641.0,663,9,,0.10635060000640806,10513.0,561,5,,0.2063250000064727,10210.0,529,3,,0.7508318000036525,9129.0,896,3,,0.06218389999412466,11641.0,663,9,,0.12546540000766981,10497.0,674,5,,0.3254085000080522,10145.0,782,3,
91,464,7584.0,0.6365327000094112,maximum,0.2171937999955844,9907.0,311,3,,0.054393400001572445,10648.0,648,9,,0.09494480000284966,10163.0,458,5,,0.17377039999701083,9947.0,360,3,,0.299400500007323,8449.0,494,3,,0.05703380001068581,10648.0,648,9,,0.10735720000229776,9332.0,522,5,,0.22153320000506938,9072.0,547,3,,0.7220707999949809,8192.0,797,3,,0.06509899999946356,10648.0,648,9,,0.12422899999364745,9392.0,622,5,,0.3242104999953881,9120.0,779,3,
92,482,8324.0,0.6921308000019053,maximum,0.2296273999963887,10754.0,320,3,,0.05456360000243876,11452.0,663,9,,0.10414270000183024,11152.0,474,5,,0.1713237000076333,11066.0,370,3,,0.30172139999922365,9269.0,490,3,,0.05562410000129603,11452.0,663,9,,0.10382340000069235,10272.0,563,5,,0.1994216999883065,9916.0,517,3,,0.7249574000015855,8948.0,813,3,,0.06411500000103842,11452.0,663,9,,0.1201083999912953,10256.0,661,5,,0.27913970001100097,9884.0,729,3,
93,476,7729.0,0.6795011999929557,maximum,0.21659189999627415,10035.0,323,3,,0.05609810000169091,10837.0,646,9,,0.0913594000012381,10623.0,476,5,,0.17018909999751486,10463.0,371,3,,0.2933852999994997,8692.0,520,3,,0.058797499994398095,10837.0,646,9,,0.0987057000020286,9953.0,553,5,,0.20489079999970272,9706.0,541,3,,0.7033526000013808,8369.0,829,3,,0.06572549999691546,10837.0,646,9,,0.11971759999869391,9953.0,653,5,,0.3220560000045225,9641.0,777,3,
94,475,8057.0,0.6831158999993932,maximum,0.2399581999925431,10687.0,317,3,,0.056943100003991276,11341.0,659,9,,0.09956740000052378,10930.0,465,5,,0.17269220000889618,10604.0,368,3,,0.30628089999663644,9197.0,490,3,,0.05639040000096429,11341.0,659,9,,0.10371189999568742,10309.0,546,5,,0.20481690000451636,9729.0,531,3,,0.718505600001663,8922.0,811,3,,0.06398890000127722,11341.0,659,9,,0.12527859999681823,10309.0,652,5,,0.30383989999245387,9729.0,774,3,
95,473,8407.0,0.6705534999928204,maximum,0.24534890000359155,10748.0,327,3,,0.05585350000183098,11261.0,665,9,,0.0967707999952836,10977.0,484,5,,0.16818459999922197,10742.0,373,3,,0.31957449999754317,9303.0,522,3,,0.05726120001054369,11261.0,665,9,,0.11452580000332091,10295.0,565,5,,0.19611730000178795,9839.0,532,3,,0.693175299995346,9031.0,838,3,,0.06576820000191219,11261.0,665,9,,0.12347400000726338,10295.0,668,5,,0.27452969999285415,9887.0,756,3,
96,469,7715.0,0.6435070000006817,maximum,0.24525079999875743,10048.0,312,3,,0.05498020000231918,10671.0,641,9,,0.10561439998855349,10416.0,474,5,,0.17142749999766238,10214.0,368,3,,0.30988950000028126,8548.0,501,3,,0.06540969999332447,10671.0,641,9,,0.10611960000824183,9661.0,553,5,,0.19026529999973718,9299.5,506,3,,0.7579937999980757,8371.0,818,3,,0.06445070001063868,10671.0,641,9,,0.12416519998805597,9659.0,655,5,,0.2801632999908179,9299.0,726,3,
97,484,7924.0,0.6938904999988154,maximum,0.287051799998153,9935.0,318,2,,0.05413659999612719,10696.0,650,8,,0.09339900000486523,10206.0,467,4,,0.184645699991961,10256.0,364,3,,0.31461050000507385,8572.0,507,2,,0.055576400001882575,10696.0,650,8,,0.10215330000210088,9824.0,562,4,,0.2091264000046067,9684.0,522,3,,0.7244841000065207,8292.0,823,2,,0.06284130000858568,10696.0,650,8,,0.12128979999397416,9824.0,658,4,,0.31166780000785366,9684.0,753,3,
98,482,8157.0,0.6823452999960864,maximum,0.21740009999484755,10559.0,321,3,,0.052446000001509674,10933.0,640,9,,0.09011129999998957,10789.0,466,5,,0.1698508999979822,10676.0,368,3,,0.30092140000488143,9087.0,519,3,,0.05593560000124853,10933.0,640,9,,0.1043991000042297,10061.0,548,5,,0.1947020999941742,9581.0,509,3,,0.6832541000039782,8797.0,827,3,,0.06100970000261441,10933.0,640,9,,0.13487219999660738,9997.0,646,5,,0.29052900000533555,9581.0,724,3,
99,475,8570.0,0.6837487000011606,maximum,0.2354778000008082,10927.0,326,3,,0.05282420000003185,11750.0,652,9,,0.09904329999699257,11301.0,472,5,,0.17112389999965671,11259.0,371,3,,0.3085659000062151,9418.0,523,3,,0.05716700000630226,11750.0,652,9,,0.10265050000452902,10594.0,545,5,,0.19932889999472536,10282.5,538,3,,0.7462473999912618,9226.0,847,3,,0.06204929998784792,11750.0,652,9,,0.12466499999572989,10594.0,650,5,,0.30075189999479335,10274.0,785,3,
100,468,8061.0,0.6571401999972295,maximum,0.23077039999770932,10374.0,320,3,,0.05593560000124853,10983.0,652,9,,0.10413719998905435,10605.0,467,5,,0.17262209999898914,10479.0,367,3,,0.31305409999913536,8998.0,508,3,,0.06202340000891127,10983.0,652,9,,0.10627989999193233,10117.0,553,5,,0.20151590000023134,9805.0,551,3,,0.7659772000042722,8717.0,838,3,,0.06425660000240896,10983.0,652,9,,0.1279355000006035,10053.0,661,5,,0.28831889999855775,9805.0,785,3,
101,479,8197.0,0.6878333000058774,maximum,0.2302101999957813,10513.0,319,3,,0.05541230000380892,11147.0,664,9,,0.10077089999685995,10739.0,469,5,,0.17462970000633504,10704.0,371,3,,0.3262403999979142,9133.0,541,3,,0.059342099993955344,11147.0,664,9,,0.10480440000537783,9946.0,552,5,,0.2037358000088716,9582.0,514,3,,0.735692400005064,8821.0,855,3,,0.0648092000046745,11147.0,664,9,,0.1276268999936292,9914.0,650,5,,0.29666079999879,9581.0,737,3,
102,487,8206.0,0.7102121000061743,maximum,0.22571919999609236,10516.0,320,3,,0.055828199998359196,11240.0,662,9,,0.09933219999948051,10825.0,468,5,,0.176228500000434,10718.0,374,3,,0.30786639999132603,9074.0,496,3,,0.06268200000340585,11240.0,662,9,,0.1049403000070015,10254.0,557,5,,0.20823969999037217,9982.0,555,3,,0.7443409000115935,8798.0,806,3,,0.06489190000866074,11240.0,662,9,,0.1271924000029685,10254.0,657,5,,0.30957199999829754,9982.0,787,3,
103,482,8283.0,0.6831094999943161,maximum,0.21569290000479668,10559.0,315,3,,0.051133700006175786,11351.0,650,9,,0.10244819999206811,10891.0,466,5,,0.1843278000014834,10762.0,372,3,,0.29751619999296963,9093.0,493,3,,0.05853939999360591,11351.0,650,9,,0.09914879999996629,10300.0,537,5,,0.1994570999959251,9979.0,521,3,,0.7084991000010632,8908.0,809,3,,0.059986300009768456,11351.0,650,9,,0.13265290000708774,10299.0,646,5,,0.3127165000041714,9971.0,777,3,
104,472,8203.0,0.657756700005848,maximum,0.23098530000424944,10572.0,322,3,,0.0545228999981191,11113.0,671,9,,0.10309160000178963,10882.0,479,5,,0.17305290000513196,10878.0,370,3,,0.3052689000032842,9118.0,500,3,,0.0678702000004705,11113.0,671,9,,0.10457369999494404,10255.0,561,5,,0.2012825999991037,9955.0,555,3,,0.7598260000086157,8860.0,843,3,,0.06222140000318177,11113.0,671,9,,0.13260549999540672,10255.0,674,5,,0.32464279999840073,9947.0,798,3,
