matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,heavy_static_16_time,heavy_static_16_cycle,heavy_static_16_perms,heavy_static_16_planes,heavy_static_16_split,heavy_static_2_time,heavy_static_2_cycle,heavy_static_2_perms,heavy_static_2_planes,heavy_static_2_split,heavy_static_4_time,heavy_static_4_cycle,heavy_static_4_perms,heavy_static_4_planes,heavy_static_4_split,heavy_static_8_time,heavy_static_8_cycle,heavy_static_8_perms,heavy_static_8_planes,heavy_static_8_split
449,7963,8570.0,1.2970954999909736,heavy_static,0.2724806000478565,9290.0,1878,3,,0.0154424000065773,11590.0,665,9,,0.0593856000341475,10570.0,934,5,,0.1832584999501705,10234.0,1404,3,
450,7621,8180.0,1.2521596000005957,heavy_static,0.3374459999613464,8836.0,1786,3,,0.0158418000210076,11322.0,648,9,,0.071756700053811,10084.0,899,5,,0.1586135999532416,9748.0,1319,3,
451,7940,8540.0,1.2201938000216614,heavy_static,0.2886997000314295,9148.0,1821,3,,0.0198707999661564,11508.0,666,9,,0.0603400999680161,10548.0,935,5,,0.1422034000279382,10308.0,1410,3,
452,7548,8071.0,1.4455861000169534,heavy_static,0.2788667000131681,8663.0,1803,3,,0.0188352999975904,10893.0,650,9,,0.0664199000457301,9951.0,906,5,,0.1641075999941676,9599.0,1330,3,
453,7259,7776.0,1.207927899988135,heavy_static,0.2535544999409467,8432.0,1750,3,,0.013920500059612,10806.0,642,9,,0.0549561999505385,9740.0,901,5,,0.1211725000757724,9296.0,1312,3,
454,7635,8185.0,1.0115014000039082,heavy_static,0.3068459999049082,8825.0,1797,3,,0.0223127999342978,11195.0,661,9,,0.0683952999534085,10229.0,928,5,,0.1542770001105964,9897.0,1388,3,
455,7998,8665.0,1.3814870999776758,heavy_static,0.3012068000389263,9561.0,1818,3,,0.0171437000390142,12133.0,653,9,,0.066562500083819,10841.0,912,5,,0.1524990999605506,10297.0,1351,3,
456,7822,8414.0,1.31694140000036,heavy_static,0.2810301000718027,9070.0,1794,3,,0.018194600008428,11938.0,666,9,,0.0707185000646859,10602.0,934,5,,0.1654670999851077,10270.0,1384,3,
457,7694,8255.0,1.3298273000109475,heavy_static,0.2788437000708654,8879.0,1819,3,,0.0143379000946879,11567.0,655,9,,0.0579140000045299,10147.0,916,5,,0.1403093999251723,9751.0,1332,3,
458,7547,8079.0,1.222060100000817,heavy_static,0.2800919000292197,8671.0,1769,3,,0.0146022000117227,11261.0,647,9,,0.0644737998954951,10179.0,912,5,,0.1350930000189691,9927.0,1361,3,
