matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,euler_heuristic_depth1_time,euler_heuristic_depth1_cycle,euler_heuristic_depth1_perms,euler_heuristic_depth1_planes,euler_heuristic_depth1_split,euler_heuristic_depth2_time,euler_heuristic_depth2_cycle,euler_heuristic_depth2_perms,euler_heuristic_depth2_planes,euler_heuristic_depth2_split,euler_heuristic_depth3_time,euler_heuristic_depth3_cycle,euler_heuristic_depth3_perms,euler_heuristic_depth3_planes,euler_heuristic_depth3_split
50,476,8468.0,0.7064042999991216,maximum,0.3180611999996472,8468.0,512,2,0.01641599999857135,0.16186709998873994,8468.0,560,4,0.028664899989962578,0.08630490000359714,8468.0,673,8,0.04010660000494681
51,476,8203.0,0.7024488000024576,maximum,0.32856510000419803,8203.0,508,2,0.02170089998980984,0.1573962999973446,8203.0,562,4,0.031186899985186756,0.08051709999563172,8203.0,669,8,0.040630900010000914
52,472,7933.0,0.7196492999792099,maximum,0.3154191999929026,7933.0,508,2,0.017605100001674145,0.1407652999914717,7933.0,561,4,0.028441899979952723,0.08571189999929629,7933.0,667,8,0.039351999992504716
53,475,8322.0,0.715714999998454,maximum,0.31497100001433864,8322.0,506,2,0.01669739998760633,0.14473299999372102,8322.0,567,4,0.030222499975934625,0.08844959997804835,8322.0,678,8,0.0403278999729082
54,483,8489.0,0.7335607999993954,maximum,0.3332566999888513,8489.0,519,2,0.02049779999651946,0.1633287000004202,8489.0,570,4,0.028632600005948916,0.08303389998036437,8489.0,674,8,0.04174620000412688
55,480,7856.0,0.7233872000069823,maximum,0.33808079999289475,7856.0,503,2,0.01662810001289472,0.16287300002295524,7856.0,562,4,0.028185200004372746,0.07561010000063106,7856.0,661,8,0.03845380002167076
56,477,8506.0,0.7137792999856174,maximum,0.32683689999976195,8506.0,511,2,0.017035199998645112,0.1418126999924425,8506.0,565,4,0.03186469999491237,0.08492989998194389,8506.0,667,8,0.04230000000097789
57,482,7959.0,0.7254255999869201,maximum,0.3124843999976292,7959.0,512,2,0.016720900021027774,0.16403929999796674,7959.0,567,4,0.030231400014599785,0.07526569999754429,7959.0,666,8,0.03994109999621287
58,482,7987.0,0.6793484000081662,maximum,0.3382201000058558,7987.0,503,2,0.017841799999587238,0.15453420000267215,7987.0,560,4,0.030113099986920133,0.07899500001803972,7987.0,669,8,0.04256649999297224
59,480,8007.0,0.7289624999975786,maximum,0.33736320000025444,8007.0,510,2,0.017421399999875575,0.14557600000989623,8007.0,566,4,0.029113199998391792,0.07637439999962226,8007.0,670,8,0.03768660000059754
60,473,7781.0,0.7120684999972582,maximum,0.31080729997484013,7781.0,504,2,0.016792900016298518,0.15482980001252145,7781.0,555,4,0.029575399996247143,0.07925999999861233,7781.0,664,8,0.03933359999791719
61,483,8818.0,0.7035486999957357,maximum,0.34368660001200624,8818.0,517,2,0.017565499991178513,0.16121610000845976,8818.0,570,4,0.030980899988207966,0.07882110000355169,8818.0,682,8,0.045536200021160766
62,478,7838.0,0.7198292999819387,maximum,0.3351865000149701,7838.0,506,2,0.01650510000763461,0.1401668999751564,7838.0,554,4,0.029622699978062883,0.08726069997646846,7838.0,664,8,0.03894669999135658
63,471,8401.0,0.6975974999950267,maximum,0.31046690000221133,8401.0,505,2,0.017335599986836314,0.14113699999870732,8401.0,559,4,0.03142509999452159,0.08433480001986027,8401.0,667,8,0.040535699983593076
64,483,8436.0,0.7116440999961924,maximum,0.34012059998349287,8436.0,511,2,0.01696569999330677,0.16214139998191968,8436.0,569,4,0.029272800020407885,0.07695349998539314,8436.0,678,8,0.04120159999001771
65,473,7823.0,0.7055981000012252,maximum,0.3262546000187285,7823.0,502,2,0.01761029998306185,0.1398384000058286,7823.0,557,4,0.02906739999889396,0.09097010002005845,7823.0,660,8,0.040097399993101135
66,484,7958.0,0.6984874000190757,maximum,0.3145819999917876,7958.0,505,2,0.01576710000517778,0.1572219999798108,7958.0,563,4,0.029799900017678738,0.0863965000025928,7958.0,673,8,0.038804100011475384
67,473,7956.0,0.7004057999874931,maximum,0.3124013000051491,7956.0,505,2,0.01687700001639314,0.16073979999055155,7956.0,559,4,0.02849140000762418,0.0771326000103727,7956.0,670,8,0.03791559999808669
68,483,7901.0,0.721264699997846,maximum,0.3349076000158675,7901.0,509,2,0.017479700007243082,0.15907609998248518,7901.0,564,4,0.026766399998450652,0.08774720001383685,7901.0,670,8,0.03987050001160242
69,462,7851.0,0.6852278000151273,maximum,0.30345560002024285,7851.0,496,2,0.01699679999728687,0.15097139999852516,7851.0,551,4,0.02966309999465011,0.0752764000208117,7851.0,663,8,0.04070990000036545
70,472,7667.0,0.6918466000061017,maximum,0.3368505999969784,7667.0,503,2,0.017540200002258644,0.1585194999934174,7667.0,561,4,0.02933429999393411,0.07499060002737679,7667.0,663,8,0.04121970001142472
71,475,8073.0,0.6873439000046346,maximum,0.3315660000080243,8073.0,503,2,0.016760700003942475,0.14387780000106432,8073.0,562,4,0.03086060000350699,0.08253980000154115,8073.0,667,8,0.038630800001556054
72,487,8119.0,0.7274783000175375,maximum,0.3207022999995388,8119.0,513,2,0.017873300006613135,0.15784170001279563,8119.0,565,4,0.03059390000998974,0.08946930000092834,8119.0,672,8,0.038426300015999004
73,472,7807.0,0.6746080000011716,maximum,0.31479219999164343,7807.0,510,2,0.01706799998646602,0.16099400000530295,7807.0,557,4,0.028907100000651553,0.076719199976651,7807.0,662,8,0.040586299990536645
74,473,8010.0,0.706808600021759,maximum,0.32643289997940883,8010.0,494,2,0.016107200004626065,0.14037770000868477,8010.0,556,4,0.03127049998147413,0.0894061999861151,8010.0,669,8,0.03949669998837635
75,470,8209.0,0.7332806999911554,maximum,0.3121982000011485,8209.0,501,2,0.01720889998250641,0.14255469999625348,8209.0,562,4,0.03171490001841448,0.08658709999872372,8209.0,672,8,0.04003750000265427
76,476,8105.0,0.6969009000167716,maximum,0.34283829998457804,8105.0,512,2,0.016951700003119186,0.1559203999931924,8105.0,566,4,0.031062800000654534,0.078131599992048,8105.0,676,8,0.04153710001264699
77,484,8543.0,0.7499543999729212,maximum,0.33625259998370893,8543.0,520,2,0.018190799979493022,0.1467521000013221,8543.0,574,4,0.02876519999699667,0.08989190001739189,8543.0,681,8,0.038712200010195374
78,478,7833.0,0.7351840999908745,maximum,0.31702950000180863,7833.0,508,2,0.01922799999010749,0.15765109998756088,7833.0,555,4,0.03533370001241565,0.08846349999657832,7833.0,670,8,0.03918839999823831
79,474,8295.0,0.6907296999997925,maximum,0.3266701999818906,8295.0,501,2,0.018224500003270805,0.16520059999311343,8295.0,563,4,0.03569669998250902,0.09189619999960996,8295.0,674,8,0.041672399995150045
80,467,8143.0,0.7968540999863762,maximum,0.33247470000060275,8143.0,500,2,0.019762400013860315,0.16042729999753647,8143.0,557,4,0.027409100002842024,0.08509710000362247,8143.0,667,8,0.040380499995080754
81,477,8275.0,0.7205969000060577,maximum,0.34482779999962077,8275.0,504,2,0.018637699977261946,0.16784609999740496,8275.0,557,4,0.03445170001941733,0.09201980000943877,8275.0,669,8,0.04452100000344217
82,466,7904.0,0.7046358000079636,maximum,0.3468938000150956,7904.0,505,2,0.019788000005064532,0.14070390001870692,7904.0,552,4,0.02841280002030544,0.08773249998921528,7904.0,660,8,0.03805199998896569
83,478,8249.0,0.7421066000242718,maximum,0.3177883999887854,8249.0,507,2,0.016782700025942177,0.159089299995685,8249.0,557,4,0.0315444000007119,0.0881525999866426,8249.0,668,8,0.03917120001278818
84,481,8557.0,0.7139352000085637,maximum,0.3376611999992747,8557.0,510,2,0.018108799995388836,0.16371180000714958,8557.0,570,4,0.03195100001175888,0.09179850001237355,8557.0,679,8,0.045911300025181845
85,465,8034.0,0.7662391000194475,maximum,0.36742039999808185,8034.0,503,2,0.02029220000258647,0.16462199998204596,8034.0,561,4,0.034159299975726753,0.08917439999640919,8034.0,661,8,0.04258130001835525
