matrix,engine,framework,ttfp_ms
6,WFA,Euler d2,31.669599993620068
6,WFA,Euler d3,36.97380001540296
6,WFA,Euler d4,41.45719998632558
6,GW (dyn=stat),BvN,1.619100003154017
6,GW (dyn=stat),Radix B2,2.9547000012826174
6,GW (dyn=stat),Radix B4,1.7722000047797337
6,GW (dyn=stat),Radix B8,1.5762999973958358
6,GW (dyn=stat),Radix B16,1.1296000011498109
6,GW (dyn=stat),Euler d1,21.84309999574907
6,GW (dyn=stat),Euler d2,31.704599983640946
6,GW (dyn=stat),Euler d3,38.995100010652095
6,GW (dyn=stat),Euler d4,43.762200002674945
7,Hungarian,BvN,1.1203999893041328
7,Hungarian,Radix B2,2.8014999988954514
7,Hungarian,Radix B4,1.6201999969780445
7,Hungarian,Radix B8,1.1912999907508492
7,Hungarian,Radix B16,1.0208999883616343
7,Hungarian,Euler d1,21.681800004444085
7,Hungarian,Euler d2,32.410300002084114
7,Hungarian,Euler d3,38.653400013572536
7,Hungarian,Euler d4,42.69960000237916
7,WFA,BvN,0.12119999155402184
7,WFA,Radix B2,2.9898000066168606
7,WFA,Radix B4,1.4659999869763851
7,WFA,Radix B8,1.068099998519756
7,WFA,Radix B16,0.8480999968014657
7,WFA,Euler d1,21.039100000052713
7,WFA,Euler d2,32.52370000700466
7,WFA,Euler d3,37.58850001031533
7,WFA,Euler d4,42.31089998211246
7,GW (dyn=stat),BvN,1.592300002812408
7,GW (dyn=stat),Radix B2,3.230100017390214
7,GW (dyn=stat),Radix B4,1.70310000248719
7,GW (dyn=stat),Radix B8,1.4628999924752861
7,GW (dyn=stat),Radix B16,1.1304000072414055
7,GW (dyn=stat),Euler d1,21.481300005689263
7,GW (dyn=stat),Euler d2,32.553199998801574
7,GW (dyn=stat),Euler d3,38.53040000831243
7,GW (dyn=stat),Euler d4,41.75980000582058
8,Hungarian,BvN,1.1919999960809946
8,Hungarian,Radix B2,2.966800006106496
8,Hungarian,Radix B4,1.680399989709258
8,Hungarian,Radix B8,1.1953000066569075
8,Hungarian,Radix B16,1.0566999990260229
8,Hungarian,Euler d1,21.07679999608081
8,Hungarian,Euler d2,32.98979999090079
8,Hungarian,Euler d3,40.20469999522902
8,Hungarian,Euler d4,42.749599990202114
8,WFA,BvN,0.11509998876135796
8,WFA,Radix B2,2.7159000019310042
8,WFA,Radix B4,1.425599999492988
8,WFA,Radix B8,0.8917999948607758
8,WFA,Radix B16,0.8139999990817159
8,WFA,Euler d1,20.46889999473933
8,WFA,Euler d2,32.2879000013927
8,WFA,Euler d3,38.88510000251699
8,WFA,Euler d4,42.374399985419586
8,GW (dyn=stat),BvN,1.7073999915737659
8,GW (dyn=stat),Radix B2,3.1580999930156395
8,GW (dyn=stat),Radix B4,1.756600002408959
8,GW (dyn=stat),Radix B8,1.4626000047428533
8,GW (dyn=stat),Radix B16,1.1391999869374558
8,GW (dyn=stat),Euler d1,21.333900003810413
8,GW (dyn=stat),Euler d2,33.024400006979704
8,GW (dyn=stat),Euler d3,38.9119000028586
8,GW (dyn=stat),Euler d4,42.66530000313651
9,Hungarian,BvN,1.3212000048952177
9,Hungarian,Radix B2,3.1304000003729016
9,Hungarian,Radix B4,1.6693999932613224
9,Hungarian,Radix B8,1.25119999574963
9,Hungarian,Radix B16,1.034000000800006
9,Hungarian,Euler d1,24.33329999621492
9,Hungarian,Euler d2,36.49380001297686
9,Hungarian,Euler d3,43.51709999900777
9,Hungarian,Euler d4,47.89740001433529
9,WFA,BvN,0.11649999942164868
9,WFA,Radix B2,2.9426000110106543
9,WFA,Radix B4,1.8164000066462904
9,WFA,Radix B8,1.2937999999849126
9,WFA,Radix B16,0.8804999961284921
9,WFA,Euler d1,25.35919999354519
9,WFA,Euler d2,35.59949998452794
9,WFA,Euler d3,41.760700012673624
9,WFA,Euler d4,46.04529999778606
9,GW (dyn=stat),BvN,1.6691000055288896
9,GW (dyn=stat),Radix B2,3.0107000056887046
9,GW (dyn=stat),Radix B4,1.9515000021783635
9,GW (dyn=stat),Radix B8,1.4807999978074804
9,GW (dyn=stat),Radix B16,1.1244999914197251
9,GW (dyn=stat),Euler d1,23.930600000312552
9,GW (dyn=stat),Euler d2,36.17499998654239
9,GW (dyn=stat),Euler d3,42.33059998659883
9,GW (dyn=stat),Euler d4,46.63690000597853
10,Hungarian,BvN,1.3214000064181164
10,Hungarian,Radix B2,2.9575999942608178
10,Hungarian,Radix B4,1.749200004269369
10,Hungarian,Radix B8,1.2445000029401854
10,Hungarian,Radix B16,0.7973000028869137
10,Hungarian,Euler d1,17.30910000333097
10,Hungarian,Euler d2,26.553700008662418
10,Hungarian,Euler d3,41.04979999829084
10,Hungarian,Euler d4,43.89329998230096
