matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,wfa_16_time,wfa_16_cycle,wfa_16_perms,wfa_16_planes,wfa_16_split,wfa_2_time,wfa_2_cycle,wfa_2_perms,wfa_2_planes,wfa_2_split,wfa_4_time,wfa_4_cycle,wfa_4_perms,wfa_4_planes,wfa_4_split,wfa_8_time,wfa_8_cycle,wfa_8_perms,wfa_8_planes,wfa_8_split
235,10936,12061.0,1.8867099999915808,wfa,0.2952251000097021,12322.0,2376,3,,0.02590600005351,13744.0,807,9,,0.066313000046648,13067.0,1159,5,,0.149383999989368,12740.0,1698,3,
236,10448,11721.0,1.718415700015612,wfa,0.3081240999745205,12054.0,2417,3,,0.0243349999655038,13329.0,814,9,,0.0683737999061122,12308.0,1158,5,,0.1481649000197649,12110.0,1747,3,
237,10125,11282.0,1.75968209997518,wfa,0.28862719994504,11783.0,2300,3,,0.023617000086233,13240.0,796,9,,0.0636732000857591,12433.0,1129,5,,0.1432504000840708,12102.0,1676,3,
238,10268,11595.0,1.3783920999849215,wfa,0.2911281998967752,12074.0,2317,3,,0.0252631000475958,13115.0,800,9,,0.0662580999778583,12505.0,1129,5,,0.1461197999306023,12170.0,1690,3,
239,10313,11664.0,1.624415500002215,wfa,0.2913346999557689,11946.0,2330,3,,0.0231068000430241,12769.0,800,9,,0.0680396999232471,12303.0,1143,5,,0.1429143999703228,11995.0,1713,3,
240,10762,12434.0,1.6843589000054635,wfa,0.2999530000379309,12746.0,2398,3,,0.024259699974209,13679.0,800,9,,0.0656662000110372,12822.0,1146,5,,0.1423102000262588,12546.0,1707,3,
241,11112,12778.0,1.9409964000224136,wfa,0.2934766999678686,13054.0,2393,3,,0.0265018000500276,14833.0,833,9,,0.0692999999737367,13632.0,1176,5,,0.1569270000327378,13427.0,1760,3,
242,10431,11590.0,1.7514376000035554,wfa,0.2981352999340743,11903.0,2350,3,,0.0253065000288188,13251.0,804,9,,0.070832600002177,12515.0,1150,5,,0.1421120000304654,12215.0,1724,3,
243,10614,12357.0,1.740916599985212,wfa,0.30155289999675,12347.0,2380,3,,0.0245673999888822,13508.0,809,9,,0.0677802000427618,12700.0,1156,5,,0.1483949000248685,12693.0,1754,3,
244,10165,11431.0,1.8508100000035483,wfa,0.2896098999772221,11659.0,2292,3,,0.0240692000370472,12781.0,791,9,,0.0686233000596985,12116.0,1134,5,,0.1459261000854894,11957.0,1680,3,
245,10629,12074.0,1.4356423999997787,wfa,0.2887361000757664,12409.0,2320,3,,0.0238543000305071,13330.0,795,9,,0.0673891000915318,12719.0,1148,5,,0.1514440000755712,12355.0,1696,3,
246,10565,11946.0,1.6985914999968372,wfa,0.29465179995168,12315.0,2309,3,,0.0249972000019624,13134.0,798,9,,0.0660491000162437,12942.0,1143,5,,0.1473056999966502,12679.0,1718,3,
247,10442,11981.0,1.8625337000121365,wfa,0.2945509999990463,12342.0,2313,3,,0.0241873000049963,13340.0,795,9,,0.0642298000166192,12821.0,1134,5,,0.1458364999853074,12480.0,1677,3,
248,10349,11568.0,1.3968190000159666,wfa,0.2863575000083074,11844.0,2301,3,,0.07606210000813,13139.0,798,9,,0.0643050000071525,12300.0,1118,5,,0.1417592000216245,12069.0,1664,3,
249,10621,12100.0,1.6685898999858182,wfa,0.2973121999530121,12843.0,2376,3,,0.0269704998936504,13981.0,819,9,,0.066791099961847,13401.0,1159,5,,0.1486261000391096,12751.0,1727,3,
250,10770,12334.0,1.9667241999995893,wfa,0.2973090000450611,12803.0,2401,3,,0.0235058000544086,13773.0,810,9,,0.065381700056605,13017.0,1154,5,,0.1450929000275209,12564.0,1707,3,
251,10376,11692.0,1.693288400012534,wfa,0.304452900076285,12030.0,2415,3,,0.0256089000031352,13185.0,809,9,,0.0664636999135837,12343.0,1157,5,,0.1438758000731468,12017.0,1743,3,
252,10302,11546.0,1.3861058999900706,wfa,0.2993920999579131,11994.0,2356,3,,0.0234466000692918,13016.0,795,9,,0.0675207999302074,12441.0,1149,5,,0.1485061000566929,12209.0,1678,3,
253,10673,12180.0,1.756351699994411,wfa,0.3069941999856382,12544.0,2404,3,,0.0256028000731021,13515.0,821,9,,0.0665558000328019,12738.0,1159,5,,0.14559690002352,12393.0,1727,3,
254,9602,10761.0,1.6938583000155631,wfa,0.2770954000297934,11079.0,2161,3,,0.0260355999926105,12072.0,758,9,,0.0622666999697685,11757.0,1070,5,,0.1374144000001251,11448.0,1581,3,
255,10331,11765.0,1.3937003999890294,wfa,0.2962035000091418,12129.0,2339,3,,0.0254099000012502,13510.0,816,9,,0.0679288000101223,12520.0,1147,5,,0.1504046999616548,12125.0,1719,3,
256,10985,12395.0,1.7380467999901157,wfa,0.2899544000392779,12663.0,2360,3,,0.0251614999724552,14062.0,815,9,,0.0657710999948903,13362.0,1159,5,,0.1503805000102147,13094.0,1733,3,
257,10414,11737.0,1.6931225000007544,wfa,0.2864364999113604,12006.0,2302,3,,0.0260393000207841,13151.0,802,9,,0.0673458999954164,12358.0,1129,5,,0.1411235999548807,12023.0,1671,3,
258,10083,11675.0,1.381574900005944,wfa,0.2885678999591619,12049.0,2274,3,,0.0224908998934552,13102.0,780,9,,0.0645981000270694,12114.0,1110,5,,0.1453357000136748,11855.0,1674,3,
259,10399,11746.0,1.6534114000096451,wfa,0.3054650000995025,12118.0,2382,3,,0.0258944999659433,13316.0,817,9,,0.0673651000251993,12495.0,1163,5,,0.1477660000091418,12190.0,1744,3,
260,10404,11744.0,1.6666509000060614,wfa,0.297333599999547,12125.0,2344,3,,0.0242376000387594,13702.0,819,9,,0.0661573000252246,12993.0,1146,5,,0.1460226000053808,12703.0,1718,3,
261,10578,11962.0,1.4406650000019,wfa,0.3035127000184729,12377.0,2381,3,,0.0252261999994516,13513.0,813,9,,0.0675983000546693,12847.0,1158,5,,0.1500983000732958,12438.0,1710,3,
262,10633,12321.0,1.8958639999909792,wfa,0.2996603000210598,12919.0,2405,3,,0.0271180999698117,13959.0,822,9,,0.0696416000137105,13451.0,1171,5,,0.1499981000088155,13073.0,1754,3,
263,11214,12849.0,1.7970916999911424,wfa,0.2893306999467313,13144.0,2391,3,,0.0254038999555632,14143.0,823,9,,0.0673589999787509,13203.0,1165,5,,0.1512853000313043,12947.0,1739,3,
264,10558,12258.0,1.9214648000197485,wfa,0.2871255999198183,12570.0,2311,3,,0.024200199986808,13094.0,789,9,,0.0657237999839708,13061.0,1139,5,,0.1465094999875873,12609.0,1722,3,
265,10413,11808.0,1.4095238999871071,wfa,0.2891448999289423,12201.0,2317,3,,0.0253051000181585,13554.0,787,9,,0.0652696000179275,12785.0,1115,5,,0.1457804000237956,12372.0,1666,3,
266,10197,11314.0,1.6244260000239592,wfa,0.2989292000420391,11718.0,2339,3,,0.0230646999552845,13258.0,805,9,,0.0649312000023201,12453.0,1127,5,,0.1446211999282241,12122.0,1676,3,
267,11037,12554.0,1.7223176999832503,wfa,0.2904012000653893,12817.0,2328,3,,0.025566800031811,14526.0,810,9,,0.0690361000597477,13694.0,1152,5,,0.1539662000723183,13385.0,1749,3,
268,9936,11233.0,1.4045449999975972,wfa,0.2919890000484884,11548.0,2283,3,,0.0224854999687522,12953.0,789,9,,0.0654618999687954,12039.0,1104,5,,0.1392838000319898,11750.0,1673,3,
269,10534,11962.0,1.674846299982164,wfa,0.3041777999605983,12271.0,2369,3,,0.0247591999359428,13291.0,806,9,,0.0706868000561371,13156.0,1155,5,,0.1545416000299155,13022.0,1745,3,
270,10472,11818.0,1.6547161000198685,wfa,0.3073959000175819,12175.0,2362,3,,0.0287988999625667,13287.0,806,9,,0.064672700013034,12484.0,1138,5,,0.1458098000148311,12183.0,1688,3,
271,10908,12273.0,1.4721477999992203,wfa,0.2899231999181211,12647.0,2345,3,,0.0253548000473529,13561.0,814,9,,0.0682563999434933,13127.0,1159,5,,0.1502550001023337,12959.0,1726,3,
272,11034,12775.0,1.9786829999939075,wfa,0.3106891999486834,13333.0,2473,3,,0.0259367000544443,14242.0,818,9,,0.0677549999672919,13644.0,1188,5,,0.1523608000716194,13119.0,1759,3,
273,10600,12714.0,1.8144354000105525,wfa,0.3020317000336945,13243.0,2418,3,,0.0260548000223934,14650.0,843,9,,0.0673758999910205,13560.0,1188,5,,0.1499953001039102,12968.0,1779,3,
274,10877,12505.0,1.698136200022418,wfa,0.2971816000062972,12843.0,2396,3,,0.0270604999968782,13723.0,800,9,,0.0676329999696463,13263.0,1149,5,,0.1520990000572055,13000.0,1705,3,
275,10837,12108.0,1.6020205999957398,wfa,0.2973214999074116,12496.0,2356,3,,0.0266649000113829,13454.0,807,9,,0.0662810000358149,12921.0,1156,5,,0.1452226000837981,12564.0,1748,3,
276,10684,11871.0,1.6738152999896556,wfa,0.3010045000119135,12309.0,2359,3,,0.0237640999257564,13208.0,803,9,,0.0668957000598311,12769.0,1139,5,,0.145627100020647,12457.0,1720,3,
277,10541,11873.0,1.6777396999823395,wfa,0.3070034000556916,12201.0,2366,3,,0.0232607000507414,13246.0,800,9,,0.1225010000634938,12509.0,1145,5,,0.148639400023967,12224.0,1703,3,
278,10764,12050.0,1.455106599983992,wfa,0.2913533999817446,12700.0,2338,3,,0.0256039999658241,13979.0,806,9,,0.0685550000052899,13360.0,1156,5,,0.1508521999930963,12834.0,1730,3,
279,11215,12980.0,1.7681615000183228,wfa,0.3008699000347405,13461.0,2415,3,,0.0249277000548318,14462.0,841,9,,0.069990299991332,14050.0,1202,5,,0.1526289000175893,13552.0,1809,3,
280,10246,11474.0,1.6965966999996454,wfa,0.2936908000847325,11853.0,2289,3,,0.0241162000456824,13061.0,799,9,,0.0680175999877974,12302.0,1134,5,,0.1498905000044033,11967.0,1704,3,
281,11089,12684.0,1.491287499986356,wfa,0.2880460999440402,13011.0,2317,3,,0.026267800014466,13899.0,807,9,,0.0685443000402301,13276.0,1140,5,,0.1569842000026255,12878.0,1700,3,
282,9850,11371.0,1.6242197999963537,wfa,0.2953697999473661,11859.0,2273,3,,0.0235531999496743,12698.0,784,9,,0.0700033999746665,12142.0,1118,5,,0.1413616000209003,11904.0,1657,3,
283,10770,12113.0,1.7018119000131264,wfa,0.3010762000922113,12494.0,2391,3,,0.0272501999279484,13596.0,821,9,,0.0662583999801427,13260.0,1172,5,,0.1495669999858364,12956.0,1730,3,
284,11073,12667.0,1.9704100000089968,wfa,0.317168700043112,13123.0,2502,3,,0.025263600051403,14130.0,844,9,,0.0694352000718936,13409.0,1207,5,,0.1578749999171123,13070.0,1809,3,
285,10471,12148.0,1.5869038999953773,wfa,0.3012701000552624,12533.0,2330,3,,0.0241591000230982,13728.0,801,9,,0.0652988998917862,13114.0,1140,5,,0.1448343999218195,12826.0,1674,3,
