matrix_index,bvn_perms,bvn_cycle,bvn_runtime,bvn_matching,maximum_16_time,maximum_16_cycle,maximum_16_perms,maximum_16_planes,maximum_16_split,maximum_2_time,maximum_2_cycle,maximum_2_perms,maximum_2_planes,maximum_2_split,maximum_4_time,maximum_4_cycle,maximum_4_perms,maximum_4_planes,maximum_4_split,maximum_8_time,maximum_8_cycle,maximum_8_perms,maximum_8_planes,maximum_8_split
189,480,8079.0,0.7373125000158325,maximum,0.7438262000214309,8719.0,811,3,,0.07077479991130531,11665.0,665,9,,0.13588409998919815,10067.0,658,5,,0.32488650002051145,9751.0,762,3,
190,480,8158.0,0.7659965999191627,maximum,0.7444520000135526,8798.0,805,3,,0.0687013000715524,11208.0,649,9,,0.14295629994012415,10102.0,649,5,,0.33695889997761697,9766.0,751,3,
191,478,8166.0,0.7702731000026688,maximum,0.833278700010851,8838.0,872,3,,0.07891949999611825,11331.0,668,9,,0.14910759998019785,10102.0,675,5,,0.3684459999203682,9702.0,778,3,
192,464,7571.0,0.7180945000145584,maximum,0.820625799940899,8211.0,807,3,,0.07055960001889616,10353.0,636,9,,0.1427978000137955,9339.0,633,5,,0.33856069995090365,9003.0,724,3,
193,464,7655.0,0.7328368999296799,maximum,0.7500692000612617,8263.0,773,3,,0.06755799998063594,10739.0,641,9,,0.1304945999290794,9511.0,630,5,,0.338652899954468,9247.0,766,3,
194,476,7924.0,0.7885018999222666,maximum,0.7832014000741765,8549.0,816,3,,0.07598089997190982,11034.0,650,9,,0.15138449997175485,9828.0,650,5,,0.3768980000168085,9500.0,763,3,
195,504,8785.0,0.8260544000659138,maximum,0.7886416000546888,9505.0,897,3,,0.06825120002031326,11909.0,669,9,,0.15010369999799877,10889.0,683,5,,0.37858869996853173,10449.0,790,3,
196,483,8636.0,0.7411354000214487,maximum,0.951909700059332,9501.0,841,3,,0.07121019996702671,12042.0,667,9,,0.14253119996283203,10848.0,653,5,,0.36492000008001924,10300.0,773,3,
197,483,7943.0,0.788724199985154,maximum,0.7916031000204384,8567.0,828,3,,0.07248219999019057,10671.0,656,9,,0.14223809994291514,10147.0,661,5,,0.33261569996830076,9833.0,774,3,
198,488,8282.0,0.7708308999426663,maximum,0.8114321000175551,8922.0,836,3,,0.06986149994190782,11478.0,659,9,,0.1392782999901101,10298.0,661,5,,0.371161499992013,9866.0,771,3,
199,470,7830.0,0.7409807000076398,maximum,0.7917534000007436,8454.0,814,3,,0.07223339995834976,10784.0,651,9,,0.14268940000329167,9818.0,645,5,,0.3675721000181511,9478.0,749,3,
200,481,8492.0,0.7880247000139207,maximum,0.8202038999879733,9116.0,843,3,,0.06684700003825128,11474.0,666,9,,0.14127350004855543,10356.0,658,5,,0.32913920003920794,9996.0,759,3,
201,477,8239.0,0.7648110999725759,maximum,0.7845559000270441,8991.0,861,3,,0.0690521999495104,11505.0,661,9,,0.14099810004699975,10183.0,673,5,,0.3343053999124095,9783.0,753,3,
202,483,8505.0,0.7805911999894306,maximum,0.7547664999729022,9097.0,801,3,,0.07296060002408922,11857.0,676,9,,0.13338609994389117,10893.0,687,5,,0.33335760002955794,10513.0,813,3,
203,478,8420.0,0.7613261999795213,maximum,0.7652308000251651,9429.0,814,3,,0.06594689993653446,11744.0,644,9,,0.12646229995880276,10500.0,642,5,,0.31216639990452677,9900.0,744,3,
204,485,8322.0,0.752898000064306,maximum,0.7917396000120789,8690.0,826,2,,0.06654910009820014,11284.0,649,8,,0.13370959996245801,10098.0,658,4,,0.33724409993737936,10042.0,762,3,
205,473,8046.0,0.7545588000211865,maximum,0.8102587000466883,8942.0,822,3,,0.0801965999417007,11416.0,652,9,,0.13911400001961738,10178.0,659,5,,0.36915779998525977,9678.0,785,3,
206,476,7932.0,0.7388730000238866,maximum,0.7442482999758795,8572.0,815,3,,0.07185629999730736,10990.0,647,9,,0.13645469991024584,9888.0,644,5,,0.3236098999623209,9556.0,747,3,
207,475,7943.0,0.7651542000239715,maximum,0.7695127999177203,8551.0,807,3,,0.07520650001242757,10997.0,646,9,,0.13308540009893477,9815.0,653,5,,0.3096049999585375,9463.0,743,3,
208,480,8306.0,0.762067399919033,maximum,0.7820955999195576,8946.0,824,3,,0.06771289999596775,11270.0,653,9,,0.13012310001067817,10094.0,635,5,,0.3253751000156626,9762.0,748,3,
209,466,7446.0,0.7229515999788418,maximum,0.7843275000341237,8054.0,802,3,,0.07044409995432943,10256.0,633,9,,0.13706069998443127,9274.0,644,5,,0.31799589993897825,8895.0,725,3,
210,470,8521.0,0.7338505999650806,maximum,0.8387057000072673,9193.0,825,3,,0.06961420003790408,11719.0,651,9,,0.1427917000837624,10821.0,669,5,,0.3701860000146553,10505.0,809,3,
211,470,7712.0,0.7562903000507504,maximum,0.8674070000415668,8144.0,886,2,,0.06691260007210076,10432.0,642,8,,0.12971750006545335,9296.0,647,4,,0.3772727999603376,9176.0,752,3,
212,480,8290.0,0.7579260999336839,maximum,0.8380887999664992,8930.0,834,3,,0.0667321999790147,11360.0,646,9,,0.1453602999681607,10306.0,659,5,,0.3481424000347033,9827.0,749,3,
213,461,7604.0,0.8001747999805957,maximum,0.7881255999673158,8260.0,839,3,,0.09258069994393736,10354.0,652,9,,0.14350430003833026,9472.0,652,5,,0.33873100008349866,9172.0,741,3,
214,476,7913.0,0.7396336999954656,maximum,0.8091326999710873,8521.0,798,3,,0.06983009993564337,10889.0,644,9,,0.1294606999726966,9885.0,643,5,,0.31316689995583147,9561.0,734,3,
215,468,7920.0,0.7152858999324962,maximum,0.7583660999080166,8528.0,815,3,,0.07452480006031692,11212.0,652,9,,0.14328660001046956,9844.0,647,5,,0.3424232000252232,9560.0,797,3,
216,483,7897.0,0.7703674000222236,maximum,0.7557600999716669,8489.0,800,3,,0.07174480007961392,10939.0,646,9,,0.12964820000343025,9717.0,634,5,,0.3173339000204578,9401.0,730,3,
217,486,8298.0,0.77214469993487,maximum,0.7733661000384018,8906.0,803,3,,0.07013359991833568,11380.0,663,9,,0.13807320001069456,10374.0,663,5,,0.35949849989265203,9994.0,772,3,
218,475,8140.0,0.7607520000310615,maximum,0.8424500999972224,8828.0,867,3,,0.07172739994712174,11294.0,658,9,,0.1422768000047654,10284.0,676,5,,0.3534651999361813,9988.0,802,3,
219,472,7939.0,0.7381471999688074,maximum,0.7406763000180945,8515.0,777,3,,0.0684523000381887,11051.0,639,9,,0.13534499995876104,9803.0,641,5,,0.33399229997303337,9419.0,720,3,
220,476,7697.0,0.7528019000310451,maximum,0.7655021999962628,8289.0,794,3,,0.06853479996789247,10531.0,647,9,,0.14556249999441206,9865.0,645,5,,0.36017090000677854,9593.0,782,3,
221,475,8158.0,0.7662303999532014,maximum,0.7913324000546709,8766.0,812,3,,0.06868560006842017,11512.0,659,9,,0.13816810003481805,10094.0,661,5,,0.3233671000925824,9726.0,747,3,
222,475,8373.0,0.7316496999701485,maximum,0.7710945999715477,9013.0,822,3,,0.06829309999011457,11533.0,658,9,,0.13674280000850558,10405.0,655,5,,0.3574718999443576,10317.0,781,3,
223,472,8401.0,0.7401587000349537,maximum,0.7705635000020266,9041.0,834,3,,0.06960859999526292,11347.0,660,9,,0.1331798000028357,10366.0,669,5,,0.331531900097616,9977.0,758,3,
224,471,7811.0,0.7363880999619141,maximum,0.7546440000878647,8403.0,785,3,,0.07244650006759912,11029.0,638,9,,0.14096749993041158,9571.0,629,5,,0.3366656999569386,9267.0,721,3,
225,483,8471.0,0.7699970001121983,maximum,0.7804880000185221,9079.0,822,3,,0.06971440010238439,11675.0,674,9,,0.13394890003837645,10551.0,668,5,,0.34081620001234114,10159.0,779,3,
226,480,8308.0,0.8684494000626728,maximum,0.7898336000507697,9156.0,815,3,,0.08224759995937347,11448.0,661,9,,0.1339596000034362,10660.0,665,5,,0.3496702000265941,10108.0,769,3,
227,480,7984.0,0.7477185999741778,maximum,0.7474883999675512,8608.0,845,3,,0.07232499995734543,11224.0,672,9,,0.1314206999959424,9968.0,652,5,,0.34752349997870624,9672.0,768,3,
228,486,8066.0,0.7865750000346452,maximum,0.7541400999762118,8706.0,831,3,,0.06517519999761134,11230.0,647,9,,0.13585500000044703,10246.0,671,5,,0.3361904000630602,9930.0,773,3,
229,478,8334.0,0.7577041999902576,maximum,0.8036057000281289,9006.0,814,3,,0.07129140000324696,11732.0,674,9,,0.1411027000285685,10134.0,655,5,,0.3592322999611497,9814.0,776,3,
